ticker,Date,SplitRatio
EBAY,2000-05-25 00:00:00-04:00,2.0
EBAY,2003-08-29 00:00:00-04:00,2.0
EBAY,2005-02-17 00:00:00-05:00,2.0
EBAY,2015-07-20 00:00:00-04:00,2.376
EFA,2005-06-09 00:00:00-04:00,3.0
EICHERMOT.NS,2020-08-24 00:00:00+05:30,10.0
EPD,2002-05-16 00:00:00-04:00,2.0
EPD,2014-08-22 00:00:00-04:00,2.0
EWU,2016-11-07 00:00:00-05:00,0.5
F,1977-06-27 00:00:00-04:00,1.25
F,1983-12-02 00:00:00-05:00,1.5
F,1986-06-03 00:00:00-04:00,1.5
F,1988-01-13 00:00:00-05:00,2.0
F,1994-07-06 00:00:00-04:00,2.0
F,1998-04-08 00:00:00-04:00,1.505797319680771
F,2000-06-29 00:00:00-04:00,1.0409076714895389
F,2000-08-03 00:00:00-04:00,1.748175
FCX,2011-02-02 00:00:00-05:00,2.0
FL,1964-06-18 00:00:00-04:00,3.0
FL,1986-06-02 00:00:00-04:00,2.0
FL,1990-06-01 00:00:00-04:00,2.0
FNF,2014-07-01 00:00:00-04:00,1.216
FNF,2017-10-02 00:00:00-04:00,1.385
FNF,2022-12-01 00:00:00-05:00,1.04
GEN,1991-10-28 00:00:00-05:00,2.0
GEN,2002-02-01 00:00:00-05:00,2.0
GEN,2003-11-20 00:00:00-05:00,2.0
GEN,2004-12-01 00:00:00-05:00,2.0
GILD,2001-02-22 00:00:00-05:00,2.0
GILD,2002-03-08 00:00:00-05:00,2.0
GILD,2004-09-07 00:00:00-04:00,2.0
GILD,2007-06-25 00:00:00-04:00,2.0
GILD,2013-01-28 00:00:00-05:00,2.0
GIS,1986-11-10 00:00:00-05:00,2.0
GIS,1990-11-08 00:00:00-05:00,2.0
GIS,1995-05-30 00:00:00-04:00,1.2099213551119177
GIS,1999-11-09 00:00:00-05:00,2.0
GIS,2010-06-09 00:00:00-04:00,2.0
GLW,1985-02-13 00:00:00-05:00,2.0
GLW,1989-02-15 00:00:00-05:00,2.0
GLW,1992-02-11 00:00:00-05:00,2.0
GLW,2000-10-04 00:00:00-04:00,3.0
GMMPFAUDLR.NS,2022-07-11 00:00:00+05:30,3.0
GURE,2006-10-23 00:00:00-04:00,0.01
GURE,2007-11-28 00:00:00-05:00,2.0
GURE,2009-10-12 00:00:00-04:00,0.25
GURE,2020-01-28 00:00:00-05:00,0.2
HAL,1976-04-30 00:00:00-04:00,3.0
HAL,1980-12-26 00:00:00-05:00,2.0
HAL,1996-01-24 00:00:00-05:00,1.0493069327709048
HAL,1997-07-22 00:00:00-04:00,2.0
HAL,2006-07-17 00:00:00-04:00,2.0
HD,1982-01-20 00:00:00-05:00,1.5
HD,1982-05-11 00:00:00-04:00,1.25
HD,1982-12-08 00:00:00-05:00,2.0
HD,1983-06-09 00:00:00-04:00,2.0
HD,1987-09-22 00:00:00-04:00,1.5
HD,1989-07-03 00:00:00-04:00,1.5
HD,1990-07-06 00:00:00-04:00,1.5
